Timestamp,Machine_ID,Temperature(°C),Pressure(bar),Vibration(mm/s),Oil_Level(%),Humidity(%),Motor_Speed(RPM),Current_Draw(A),Maintenance_Event
30/12/2022 17:57,Machine_041,63.76835044,3.118929221,0.102942313,75.48685579,62.09123979,317,8.380211766,
27/10/2022 12:24,Machine_088,78.08363004,2.057937352,0.294816878,58.869945,65.46064789,169,7.119920415,
15/08/2023 09:50,Machine_037,71.58390914,2.985899981,0.226330519,81.16798688,59.03428329,418,13.75625842,
30/11/2022 09:52,Machine_087,76.89481269,2.427926039,0.158374203,97.19264484,48.04466342,436,19.15940971,
28/06/2022 11:39,Machine_068,62.79980167,3.02242957,0.299368702,91.48844157,30.73819232,356,16.66008969,
24/01/2022 14:06,Machine_015,76.57303112,1.731161259,0.231216343,62.12377979,59.39324356,239,16.09193796,
04/03/2022 08:46,Machine_076,67.43871842,1.779697101,0.277380181,63.18332737,69.56875868,391,14.57915935,
25/09/2023 05:38,Machine_065,70.85455763,3.181544913,0.298134714,55.47335461,39.70121213,445,19.95201722,
29/08/2022 11:35,Machine_005,61.40878711,2.579687999,0.108350416,98.87766634,55.35973989,325,18.99544732,
25/06/2022 01:32,Machine_065,76.17197081,2.507495828,0.165686521,51.30464131,34.75928841,175,15.83356869,
09/03/2022 07:04,Machine_028,60.83611628,2.029149956,0.123223545,91.19855506,40.97819629,370,19.10636054,
14/12/2022 15:18,Machine_034,64.70043057,3.442481899,0.289165854,53.10308516,65.26927403,487,19.92880069,
02/05/2023 20:01,Machine_070,66.17994563,2.397335642,0.22782343,52.52776324,49.06758602,222,13.3545074,
02/09/2022 23:44,Machine_042,69.92347604,2.306933719,0.196614633,62.20897049,52.38333831,372,5.039595274,
11/02/2023 13:31,Machine_074,74.77801648,2.832460224,0.201773063,53.76049789,30.47346505,389,5.608005389,
20/12/2022 12:32,Machine_078,64.11723951,2.662543822,0.100346798,63.7644351,49.5797963,114,15.99438167,
04/08/2023 23:32,Machine_086,74.13357767,1.721721619,0.19517293,83.97775526,39.14377134,226,15.13700867,
07/12/2023 13:42,Machine_067,62.11833451,1.58622038,0.109221578,93.18672391,68.12200448,186,9.340773903,
29/03/2022 18:14,Machine_028,68.96851133,2.7247085,0.146862994,76.35555813,60.6012125,431,17.65977071,
04/04/2023 01:06,Machine_037,77.10839,2.654221263,0.101631659,81.72949309,62.42900622,421,13.83405226,
09/08/2022 16:17,Machine_020,60.98761202,2.446745799,0.189609985,77.02823813,31.23965175,215,17.49156165,
17/05/2023 19:38,Machine_020,76.37598398,2.89089457,0.111938104,84.3487086,43.75387561,392,16.26908119,
23/12/2023 22:13,Machine_022,76.30501228,2.843267077,0.284361413,93.11081465,53.53582321,379,7.824761392,
09/08/2023 23:58,Machine_057,74.68161121,1.886230606,0.177216963,66.48966503,59.2412686,224,12.66059681,
08/03/2023 11:19,Machine_074,74.08184216,2.978591162,0.207389936,53.65600816,32.68862061,142,11.94405025,
13/05/2022 04:08,Machine_038,79.8062507,2.743866417,0.285898643,84.84558023,41.00128847,427,18.37798737,
30/07/2023 20:30,Machine_091,68.61647669,3.187794018,0.223695073,87.87603257,69.70046217,256,18.97594337,
07/08/2023 13:55,Machine_088,65.47246277,3.357644408,0.261050893,61.20378723,35.23256565,404,10.0512597,
15/03/2022 10:10,Machine_054,61.97446644,2.484293728,0.210113845,75.48385234,35.46338439,335,5.495798827,
17/06/2022 09:31,Machine_016,73.29188095,2.930670573,0.193938956,58.76280211,58.77062611,370,6.984543634,
11/07/2023 05:46,Machine_033,74.13795643,1.999758773,0.237297032,80.22652542,50.44186494,132,18.57474022,
12/02/2023 16:28,Machine_086,76.66453609,2.68349645,0.157411434,92.42367132,48.4250729,235,18.00928845,
04/04/2023 19:59,Machine_067,66.22028944,2.691624717,0.224061541,78.94076813,63.45462714,149,16.47748579,
09/01/2022 17:26,Machine_001,64.63170247,1.799219067,0.198583933,53.25379571,46.99371092,195,14.11067504,
06/08/2022 17:20,Machine_044,60.16685976,1.817684976,0.213572879,51.5881712,46.89871013,499,10.46233268,
25/04/2022 00:40,Machine_025,64.11456282,2.229477367,0.215387596,96.33178537,45.50511929,200,9.542419905,
